Number of elements,sorted array,reverse sorted array,random array
100,0.000002,0.000029,0.000015
200,0.000002,0.000094,0.000058
300,0.000002,0.000226,0.000111
400,0.000003,0.000371,0.000199
500,0.000004,0.000586,0.000355
600,0.000004,0.000879,0.000457
700,0.000008,0.001149,0.000604
800,0.000006,0.001522,0.000782
900,0.000007,0.001931,0.001083
1000,0.000007,0.002585,0.001285
1100,0.000009,0.002909,0.001532
1200,0.000012,0.003831,0.001865
1300,0.000009,0.004550,0.002186
1400,0.000010,0.004682,0.002406
1500,0.000014,0.005625,0.002814
1600,0.000012,0.005948,0.003177
1700,0.000013,0.006935,0.003591
1800,0.000013,0.007620,0.004042
1900,0.000014,0.009349,0.004793
2000,0.000015,0.009283,0.004778
2100,0.000015,0.010273,0.005197
2200,0.000016,0.011248,0.005659
2300,0.000017,0.012236,0.006724
2400,0.000020,0.014542,0.007387
2500,0.000018,0.014682,0.007895
2600,0.000019,0.016438,0.008394
2700,0.000019,0.017651,0.008736
2800,0.000020,0.018300,0.009520
2900,0.000021,0.019558,0.009926
3000,0.000021,0.021140,0.011263
3100,0.000022,0.024372,0.011653
3200,0.000022,0.025337,0.013126
3300,0.000024,0.027254,0.013466
3400,0.000032,0.028213,0.014295
3500,0.000033,0.028851,0.015139
3600,0.000026,0.031316,0.015741
3700,0.000041,0.033678,0.016862
3800,0.000027,0.035990,0.017434
3900,0.000027,0.038056,0.018788
4000,0.000040,0.039636,0.019764
4100,0.000030,0.041663,0.020099
4200,0.000030,0.044035,0.021671
4300,0.000030,0.045383,0.022784
4400,0.000031,0.047214,0.023736
4500,0.000032,0.053507,0.025078
4600,0.000037,0.053548,0.027096
4700,0.000033,0.052714,0.027126
4800,0.000034,0.055234,0.028573
4900,0.000037,0.057846,0.030244
5000,0.000037,0.066002,0.031414
5100,0.000041,0.063530,0.031480
5200,0.000036,0.064649,0.032247
5300,0.000046,0.067496,0.033794
5400,0.000038,0.070561,0.035877
5500,0.000039,0.073653,0.036988
5600,0.000050,0.078278,0.037199
5700,0.000052,0.080194,0.039817
5800,0.000041,0.083146,0.041555
5900,0.000056,0.083254,0.041939
6000,0.000051,0.086308,0.043884
6100,0.000044,0.092032,0.045711
6200,0.000045,0.096469,0.046256
6300,0.000046,0.095323,0.048225
6400,0.000049,0.100046,0.049521
6500,0.000045,0.101005,0.051769
6600,0.000047,0.107718,0.053353
6700,0.000046,0.107498,0.053905
6800,0.000068,0.113103,0.056310
6900,0.000049,0.111453,0.057708
7000,0.000050,0.115246,0.058936
7100,0.000050,0.121668,0.062995
7200,0.000050,0.127736,0.063446
7300,0.000062,0.132105,0.065169
7400,0.000071,0.134618,0.067341
7500,0.000054,0.135494,0.068267
7600,0.000053,0.138613,0.070091
7700,0.000054,0.141508,0.072473
7800,0.000056,0.148328,0.075084
7900,0.000057,0.148800,0.074954
8000,0.000056,0.155009,0.078519
8100,0.000058,0.157663,0.081568
8200,0.000058,0.166285,0.082068
8300,0.000059,0.164436,0.085078
8400,0.000058,0.176628,0.086750
8500,0.000059,0.180606,0.088024
8600,0.000060,0.189394,0.088723
8700,0.000062,0.180376,0.091329
8800,0.000061,0.190420,0.095030
8900,0.000063,0.188409,0.096663
9000,0.000064,0.200498,0.098557
9100,0.000084,0.197412,0.101711
9200,0.000068,0.202984,0.101443
9300,0.000065,0.207584,0.105908
9400,0.000066,0.211759,0.106472
9500,0.000083,0.216257,0.110024
9600,0.000067,0.224684,0.112388
9700,0.000068,0.232790,0.115886
9800,0.000068,0.230464,0.115805
9900,0.000077,0.235304,0.118468
10000,0.000070,0.239700,0.121470
