Number of elements,sorted array,reverse sorted array,random array
100,0.000007,0.000006,0.000011
200,0.000012,0.000012,0.000021
300,0.000020,0.000019,0.000037
400,0.000026,0.000025,0.000047
500,0.000032,0.000032,0.000068
600,0.000037,0.000037,0.000073
700,0.000044,0.000042,0.000086
800,0.000051,0.000049,0.000104
900,0.000065,0.000056,0.000122
1000,0.000064,0.000062,0.000128
1100,0.000077,0.000076,0.000149
1200,0.000083,0.000082,0.000167
1300,0.000090,0.000098,0.000180
1400,0.000098,0.000096,0.000203
1500,0.000103,0.000102,0.000210
1600,0.000110,0.000109,0.000226
1700,0.000121,0.000115,0.000240
1800,0.000124,0.000122,0.000256
1900,0.000130,0.000150,0.000302
2000,0.000137,0.000135,0.000284
2100,0.000147,0.000141,0.000300
2200,0.000151,0.000148,0.000315
2300,0.000159,0.000157,0.000342
2400,0.000165,0.000162,0.000339
2500,0.000173,0.000169,0.000366
2600,0.000179,0.000180,0.000380
2700,0.000194,0.000185,0.000398
2800,0.000191,0.000203,0.000409
2900,0.000198,0.000198,0.000423
3000,0.000213,0.000201,0.000440
3100,0.000225,0.000217,0.000528
3200,0.000219,0.000220,0.000470
3300,0.000229,0.000227,0.000481
3400,0.000238,0.000228,0.000496
3500,0.000240,0.000235,0.000563
3600,0.000278,0.000295,0.000561
3700,0.000262,0.000262,0.000573
3800,0.000274,0.000273,0.000605
3900,0.000272,0.000262,0.000580
4000,0.000272,0.000292,0.000594
4100,0.000337,0.000305,0.000648
4200,0.000323,0.000355,0.000668
4300,0.000330,0.000320,0.000679
4400,0.000336,0.000331,0.000692
4500,0.000346,0.000336,0.000710
4600,0.000358,0.000363,0.000731
4700,0.000372,0.000360,0.000743
4800,0.000383,0.000357,0.000761
4900,0.000374,0.000407,0.000786
5000,0.000381,0.000376,0.000789
5100,0.000398,0.000477,0.000814
5200,0.000412,0.000392,0.000960
5300,0.000407,0.000402,0.000832
5400,0.000426,0.000442,0.000865
5500,0.000437,0.000410,0.000881
5600,0.000435,0.000425,0.000899
5700,0.000458,0.000424,0.000944
5800,0.000455,0.000459,0.000984
5900,0.000467,0.000446,0.001046
6000,0.000536,0.000524,0.001013
6100,0.000470,0.000492,0.001031
6200,0.000554,0.000521,0.001133
6300,0.000503,0.000476,0.001018
6400,0.000503,0.000478,0.001033
6500,0.000516,0.000502,0.001045
6600,0.000509,0.000501,0.001065
6700,0.000558,0.000523,0.001080
6800,0.000518,0.000520,0.001094
6900,0.000535,0.000529,0.001120
7000,0.000548,0.000533,0.001221
7100,0.000745,0.000770,0.001167
7200,0.000579,0.000548,0.001209
7300,0.000579,0.000555,0.001217
7400,0.000576,0.000607,0.001256
7500,0.000613,0.000637,0.001359
7600,0.000574,0.000566,0.001256
7700,0.000618,0.000577,0.001285
7800,0.000594,0.000581,0.001298
7900,0.000596,0.000597,0.001327
8000,0.000621,0.000602,0.001335
8100,0.000612,0.000606,0.001403
8200,0.000734,0.000712,0.001384
8300,0.000640,0.000623,0.001372
8400,0.000647,0.000631,0.001409
8500,0.000656,0.000646,0.001416
8600,0.000682,0.000899,0.001441
8700,0.000681,0.000672,0.001432
8800,0.000741,0.000654,0.001448
8900,0.000697,0.000704,0.001468
9000,0.000720,0.000751,0.001527
9100,0.000704,0.000691,0.001502
9200,0.000756,0.000700,0.001520
9300,0.000745,0.000696,0.001544
9400,0.000736,0.000724,0.001577
9500,0.000745,0.000710,0.001579
9600,0.000731,0.000735,0.001592
9700,0.000752,0.000753,0.001668
9800,0.001090,0.000979,0.001613
9900,0.000766,0.000750,0.001663
10000,0.000768,0.000744,0.001711
