Number of elements,sorted array,reverse sorted array,random array
100,0.000005,0.000004,0.000011
200,0.000008,0.000008,0.000024
300,0.000012,0.000011,0.000038
400,0.000016,0.000015,0.000052
500,0.000019,0.000021,0.000068
600,0.000024,0.000025,0.000083
700,0.000029,0.000030,0.000098
800,0.000035,0.000034,0.000114
900,0.000037,0.000036,0.000131
1000,0.000039,0.000047,0.000145
1100,0.000047,0.000046,0.000159
1200,0.000050,0.000052,0.000187
1300,0.000060,0.000072,0.000197
1400,0.000061,0.000062,0.000213
1500,0.000071,0.000070,0.000231
1600,0.000070,0.000080,0.000249
1700,0.000075,0.000079,0.000261
1800,0.000077,0.000083,0.000278
1900,0.000079,0.000092,0.000297
2000,0.000084,0.000089,0.000319
2100,0.000088,0.000094,0.000333
2200,0.000096,0.000101,0.000351
2300,0.000107,0.000114,0.000373
2400,0.000105,0.000124,0.000392
2500,0.000116,0.000124,0.000408
2600,0.000120,0.000131,0.000418
2700,0.000154,0.000141,0.000455
2800,0.000129,0.000140,0.000454
2900,0.000137,0.000147,0.000470
3000,0.000142,0.000153,0.000504
3100,0.000146,0.000157,0.000511
3200,0.000149,0.000177,0.000544
3300,0.000168,0.000178,0.000561
3400,0.000158,0.000169,0.000581
3500,0.000161,0.000171,0.000581
3600,0.000163,0.000177,0.000604
3700,0.000169,0.000181,0.000623
3800,0.000176,0.000186,0.000639
3900,0.000181,0.000191,0.000678
4000,0.000181,0.000197,0.000693
4100,0.000185,0.000195,0.000701
4200,0.000199,0.000207,0.000770
4300,0.000215,0.000211,0.000746
4400,0.000211,0.000231,0.000745
4500,0.000219,0.000224,0.000773
4600,0.000216,0.000242,0.000798
4700,0.000268,0.000293,0.000832
4800,0.000228,0.000242,0.000826
4900,0.000240,0.000270,0.000864
5000,0.000252,0.000276,0.000898
5100,0.000251,0.000273,0.000899
5200,0.000290,0.000287,0.000974
5300,0.000259,0.000277,0.000966
5400,0.000325,0.000317,0.000953
5500,0.000341,0.000293,0.000970
5600,0.000280,0.000313,0.000988
5700,0.000302,0.000345,0.001004
5800,0.000293,0.000332,0.001043
5900,0.000317,0.000317,0.001036
6000,0.000326,0.000328,0.001053
6100,0.000311,0.000338,0.001115
6200,0.000315,0.000357,0.001107
6300,0.000334,0.000343,0.001124
6400,0.000322,0.000343,0.001201
6500,0.000417,0.000422,0.001168
6600,0.000326,0.000359,0.001174
6700,0.000367,0.000369,0.001192
6800,0.000339,0.000365,0.001345
6900,0.000343,0.000371,0.001237
7000,0.000345,0.000368,0.001251
7100,0.000354,0.000415,0.001327
7200,0.000385,0.000405,0.001352
7300,0.000365,0.000397,0.001358
7400,0.000359,0.000389,0.001329
7500,0.000363,0.000387,0.001337
7600,0.000367,0.000399,0.001366
7700,0.000373,0.000411,0.001388
7800,0.000379,0.000416,0.001407
7900,0.000379,0.000416,0.001455
8000,0.000387,0.000425,0.001466
8100,0.000399,0.000424,0.001475
8200,0.000409,0.000442,0.001473
8300,0.000409,0.000435,0.001507
8400,0.000412,0.000440,0.001560
8500,0.000420,0.000471,0.001719
8600,0.000424,0.000456,0.001600
8700,0.000471,0.000473,0.001582
8800,0.000437,0.000485,0.001618
8900,0.000445,0.000499,0.001702
9000,0.000556,0.000564,0.001778
9100,0.000459,0.000491,0.001680
9200,0.000461,0.000509,0.001776
9300,0.000476,0.000515,0.001787
9400,0.000573,0.000598,0.001779
9500,0.000493,0.000520,0.001774
9600,0.000504,0.000521,0.001781
9700,0.000515,0.000548,0.001780
9800,0.000503,0.000556,0.001793
9900,0.000509,0.000633,0.001841
10000,0.000512,0.000540,0.001885
