Numbers of elements,Insertion Sort,Selection Sort,Shell Sort,Quick Sort,Merge Sort
100,0.000015,0.000030,0.000012,0.000012,0.000012
200,0.000054,0.000105,0.000031,0.000026,0.000024
300,0.000118,0.000218,0.000047,0.000040,0.000039
400,0.000210,0.000377,0.000070,0.000056,0.000054
500,0.000327,0.000568,0.000091,0.000070,0.000066
600,0.000501,0.000820,0.000109,0.000084,0.000088
700,0.000670,0.001063,0.000133,0.000102,0.000091
800,0.000829,0.001394,0.000164,0.000118,0.000106
900,0.000986,0.001791,0.000182,0.000133,0.000115
1000,0.001303,0.002132,0.000205,0.000158,0.000138
1100,0.001558,0.002568,0.000223,0.000161,0.000150
1200,0.001874,0.003063,0.000250,0.000179,0.000164
1300,0.002054,0.003616,0.000279,0.000198,0.000177
1400,0.002358,0.004198,0.000291,0.000212,0.000195
1500,0.002854,0.004798,0.000325,0.000236,0.000218
1600,0.003132,0.005534,0.000368,0.000245,0.000221
1700,0.003540,0.006217,0.000378,0.000275,0.000238
1800,0.004183,0.006947,0.000427,0.000298,0.000323
1900,0.004488,0.007550,0.000412,0.000297,0.000270
2000,0.004776,0.008492,0.000442,0.000318,0.000284
2100,0.005416,0.009237,0.000490,0.000336,0.000308
2200,0.005883,0.010240,0.000521,0.000346,0.000325
2300,0.006623,0.011155,0.000535,0.000367,0.000328
2400,0.007054,0.012130,0.000572,0.000407,0.000383
2500,0.007924,0.013122,0.000591,0.000407,0.000359
2600,0.008112,0.014101,0.000651,0.000465,0.000378
2700,0.008763,0.015417,0.000667,0.000446,0.000394
2800,0.009471,0.016204,0.000674,0.000458,0.000405
2900,0.010035,0.017714,0.000714,0.000504,0.000443
3000,0.011108,0.018990,0.000721,0.000495,0.000436
3100,0.011565,0.020383,0.000832,0.000509,0.000451
3200,0.013070,0.022365,0.000871,0.000525,0.000467
3300,0.013413,0.022934,0.000826,0.000550,0.000487
3400,0.014317,0.024700,0.000911,0.000584,0.000512
3500,0.015166,0.025758,0.000903,0.000620,0.000513
3600,0.015625,0.027693,0.000990,0.000642,0.000646
3700,0.016925,0.028532,0.000927,0.000630,0.000547
3800,0.017052,0.030497,0.000954,0.000651,0.000581
3900,0.018172,0.032162,0.000967,0.000686,0.000627
4000,0.019326,0.033305,0.001006,0.000681,0.000605
4100,0.020498,0.035366,0.001401,0.000690,0.000693
4200,0.021686,0.036745,0.001111,0.000716,0.000673
4300,0.022217,0.038844,0.001128,0.000739,0.000724
4400,0.024196,0.040572,0.001137,0.000746,0.000726
