Numbers of elements,Insertion Sort,Selection Sort,Shell Sort,Quick Sort,Merge Sort
100,0.000025,0.000022,0.000007,0.000005,0.000007
200,0.000093,0.000080,0.000029,0.000008,0.000011
300,0.000205,0.000176,0.000028,0.000013,0.000027
400,0.000381,0.000308,0.000033,0.000016,0.000025
500,0.000619,0.000500,0.000044,0.000022,0.000032
600,0.000848,0.000734,0.000057,0.000027,0.000050
700,0.001221,0.000955,0.000068,0.000032,0.000042
800,0.001522,0.001259,0.000076,0.000037,0.000048
900,0.001947,0.001705,0.000086,0.000039,0.000055
1000,0.002400,0.001937,0.000097,0.000042,0.000060
1100,0.002848,0.002303,0.000113,0.000047,0.000075
1200,0.003394,0.003231,0.000120,0.000053,0.000081
1300,0.003937,0.003211,0.000163,0.000064,0.000088
1400,0.004625,0.004541,0.000215,0.000075,0.000106
1500,0.005638,0.004296,0.000163,0.000086,0.000147
1600,0.006300,0.004860,0.000167,0.000076,0.000111
1700,0.007102,0.005587,0.000216,0.000081,0.000122
1800,0.008087,0.006592,0.000207,0.000085,0.000133
1900,0.008814,0.007288,0.000211,0.000107,0.000137
2000,0.009959,0.008170,0.000213,0.000100,0.000143
2100,0.010695,0.008696,0.000242,0.000101,0.000150
2200,0.012845,0.010100,0.000240,0.000103,0.000152
2300,0.013078,0.010718,0.000271,0.000109,0.000169
2400,0.013785,0.011070,0.000265,0.000114,0.000164
2500,0.015117,0.012009,0.000292,0.000126,0.000171
2600,0.017171,0.013737,0.000306,0.000134,0.000176
2700,0.019583,0.014309,0.000334,0.000144,0.000205
2800,0.018832,0.015293,0.000395,0.000180,0.000237
2900,0.021571,0.017176,0.000347,0.000151,0.000197
3000,0.021239,0.017047,0.000342,0.000152,0.000207
3100,0.022744,0.018693,0.000351,0.000160,0.000212
3200,0.024171,0.019597,0.000368,0.000162,0.000218
3300,0.028793,0.023000,0.000400,0.000171,0.000232
3400,0.028442,0.021977,0.000395,0.000172,0.000233
3500,0.028635,0.023263,0.000396,0.000169,0.000240
3600,0.030593,0.024954,0.000423,0.000183,0.000245
3700,0.032351,0.026300,0.000443,0.000183,0.000257
3800,0.035459,0.027596,0.000444,0.000201,0.000267
3900,0.036098,0.029220,0.000456,0.000194,0.000268
4000,0.038308,0.031427,0.000482,0.000209,0.000288
4100,0.040493,0.032316,0.000666,0.000254,0.000448
4200,0.045348,0.034653,0.000508,0.000217,0.000320
4300,0.045701,0.035445,0.000550,0.000214,0.000336
4400,0.047764,0.037603,0.000593,0.000222,0.000333
4500,0.052681,0.039594,0.000579,0.000277,0.000459
4600,0.054270,0.041544,0.000584,0.000240,0.000347
4700,0.054363,0.042861,0.000576,0.000247,0.000410
4800,0.056365,0.045900,0.000626,0.000264,0.000416
4900,0.059053,0.047034,0.000631,0.000257,0.000387
5000,0.060707,0.048979,0.000645,0.000261,0.000384
5100,0.063151,0.049639,0.000615,0.000268,0.000389
5200,0.066841,0.052291,0.000668,0.000291,0.000436
5300,0.068918,0.054311,0.000744,0.000301,0.000464
5400,0.069880,0.056945,0.000889,0.000373,0.000640
5500,0.080412,0.058638,0.000677,0.000303,0.000417
5600,0.075891,0.062462,0.000701,0.000306,0.000432
5700,0.082349,0.063734,0.000709,0.000317,0.000461
5800,0.079656,0.064292,0.000711,0.000324,0.000452
5900,0.084954,0.069223,0.000742,0.000344,0.000453
6000,0.089090,0.070073,0.000750,0.000317,0.000475
6100,0.087841,0.073721,0.000946,0.000402,0.000620
6200,0.092974,0.073669,0.000756,0.000346,0.000869
6300,0.094228,0.076357,0.000799,0.000344,0.000474
6400,0.098956,0.080312,0.000782,0.000361,0.000492
6500,0.102870,0.082167,0.000830,0.000362,0.000539
6600,0.105252,0.083707,0.000989,0.000358,0.000499
6700,0.108217,0.088962,0.000950,0.000390,0.000556
6800,0.113618,0.090296,0.000966,0.000415,0.000542
6900,0.114506,0.092153,0.000938,0.000396,0.000550
7000,0.127589,0.099008,0.000871,0.000381,0.000592
7100,0.120440,0.097407,0.000875,0.000381,0.000551
7200,0.124639,0.105432,0.000945,0.000400,0.000553
7300,0.134039,0.105646,0.000908,0.000389,0.000564
7400,0.134854,0.106198,0.001021,0.000450,0.000635
