Number of elements,sorted array,reverse sorted array,random array
100,0.000023,0.000022,0.000027
200,0.000092,0.000081,0.000096
300,0.000187,0.000187,0.000209
400,0.000331,0.000308,0.000360
500,0.000511,0.000486,0.000557
600,0.000737,0.000717,0.000801
700,0.001005,0.001437,0.001121
800,0.001314,0.001239,0.001422
900,0.001663,0.001585,0.001746
1000,0.002044,0.001909,0.002187
1100,0.002538,0.002375,0.002595
1200,0.002974,0.002782,0.003045
1300,0.003452,0.003306,0.003663
1400,0.004058,0.003968,0.004147
1500,0.004628,0.004756,0.004813
1600,0.005248,0.004941,0.005457
1700,0.006235,0.005921,0.006129
1800,0.006648,0.006239,0.006996
1900,0.007410,0.007137,0.007746
2000,0.008731,0.007793,0.008448
2100,0.009152,0.008474,0.009279
2200,0.010064,0.009149,0.010151
2300,0.011311,0.010347,0.011043
2400,0.011889,0.011030,0.012058
2500,0.013760,0.012291,0.013204
2600,0.013715,0.012789,0.014117
2700,0.014743,0.013855,0.015283
2800,0.016131,0.015874,0.016424
2900,0.017673,0.017037,0.017945
3000,0.018433,0.017444,0.019007
3100,0.020487,0.019458,0.019926
3200,0.021064,0.020761,0.021388
3300,0.022142,0.021037,0.022872
3400,0.023787,0.022491,0.024305
3500,0.025128,0.023456,0.026661
3600,0.026325,0.024462,0.027227
3700,0.027897,0.026927,0.028880
3800,0.029932,0.028090,0.030600
3900,0.031696,0.030693,0.031900
4000,0.033986,0.031003,0.033225
4100,0.035707,0.032019,0.035348
4200,0.035812,0.033973,0.036955
4300,0.038902,0.035642,0.038870
4400,0.039395,0.036790,0.040358
4500,0.041832,0.039280,0.042252
4600,0.044878,0.041476,0.044797
4700,0.046743,0.043041,0.046800
4800,0.047455,0.044364,0.048067
4900,0.049487,0.046139,0.050493
5000,0.051049,0.049253,0.052361
5100,0.053436,0.051478,0.054002
5200,0.055336,0.051508,0.056570
5300,0.057932,0.055847,0.058683
5400,0.060501,0.058224,0.060865
5500,0.062493,0.060629,0.063570
5600,0.067343,0.060646,0.066137
5700,0.068465,0.065128,0.068155
5800,0.069713,0.066744,0.070972
5900,0.070946,0.068560,0.072664
6000,0.074536,0.072035,0.075652
6100,0.077129,0.072293,0.077049
6200,0.080056,0.074441,0.079761
6300,0.082440,0.077248,0.082521
6400,0.085028,0.078964,0.085295
6500,0.087496,0.082475,0.088278
6600,0.088977,0.084525,0.090763
6700,0.091920,0.086068,0.094408
6800,0.095020,0.088152,0.096611
6900,0.098461,0.093653,0.098797
7000,0.102539,0.093467,0.101917
7100,0.106271,0.098545,0.105377
7200,0.106249,0.103666,0.108006
7300,0.111111,0.104949,0.111508
7400,0.112651,0.114265,0.113385
7500,0.119815,0.111082,0.116990
7600,0.118790,0.110791,0.119902
7700,0.123250,0.115538,0.124504
7800,0.125618,0.117375,0.125951
7900,0.128823,0.122401,0.129964
8000,0.131969,0.123697,0.133899
8100,0.134039,0.126852,0.137182
8200,0.137550,0.129778,0.139634
8300,0.141789,0.136064,0.142878
8400,0.144506,0.137348,0.145965
8500,0.147375,0.137746,0.149563
8600,0.150803,0.144526,0.153311
8700,0.158187,0.148292,0.156986
8800,0.156966,0.149969,0.161485
8900,0.162782,0.154367,0.165238
9000,0.166723,0.156057,0.168540
9100,0.171585,0.159489,0.171996
9200,0.175548,0.163515,0.175171
9300,0.177049,0.165076,0.179935
9400,0.180980,0.169575,0.183075
9500,0.185518,0.173310,0.187196
9600,0.189287,0.176049,0.190060
9700,0.193779,0.182016,0.195439
9800,0.198304,0.185381,0.200148
9900,0.199435,0.189974,0.203666
10000,0.204511,0.194200,0.206956
