Number of elements,sorted array,reverse sorted array,random array
100,0.000004,0.000007,0.000012
200,0.000009,0.000017,0.000028
300,0.000016,0.000025,0.000046
400,0.000021,0.000033,0.000066
500,0.000028,0.000047,0.000086
600,0.000038,0.000057,0.000109
700,0.000043,0.000068,0.000131
800,0.000051,0.000076,0.000160
900,0.000056,0.000088,0.000188
1000,0.000062,0.000098,0.000195
1100,0.000075,0.000123,0.000225
1200,0.000102,0.000121,0.000247
1300,0.000089,0.000132,0.000283
1400,0.000095,0.000151,0.000293
1500,0.000104,0.000160,0.000320
1600,0.000108,0.000171,0.000366
1700,0.000118,0.000178,0.000382
1800,0.000174,0.000259,0.000422
1900,0.000133,0.000201,0.000412
2000,0.000144,0.000248,0.000451
2100,0.000190,0.000227,0.000489
2200,0.000169,0.000243,0.000506
2300,0.000174,0.000269,0.000535
2400,0.000191,0.000303,0.000592
2500,0.000206,0.000298,0.000599
2600,0.000198,0.000299,0.000646
2700,0.000231,0.000311,0.000673
2800,0.000226,0.000336,0.000698
2900,0.000219,0.000357,0.000712
3000,0.000229,0.000346,0.000732
3100,0.000259,0.000347,0.000866
3200,0.000275,0.000390,0.000884
3300,0.000263,0.000406,0.000841
3400,0.000270,0.000407,0.000870
3500,0.000285,0.000434,0.000904
3600,0.000334,0.000491,0.001022
3700,0.000307,0.000451,0.000954
3800,0.000301,0.000454,0.000988
3900,0.000318,0.000499,0.001080
4000,0.000353,0.000505,0.001064
4100,0.000345,0.000476,0.001407
4200,0.000346,0.000506,0.001119
4300,0.000367,0.000557,0.001115
4400,0.000366,0.000527,0.001168
4500,0.000378,0.000569,0.001201
4600,0.000395,0.000605,0.001243
4700,0.000405,0.000608,0.001265
4800,0.000443,0.000625,0.001395
4900,0.000462,0.000688,0.001306
5000,0.000427,0.000637,0.001373
5100,0.000452,0.000662,0.001359
5200,0.000441,0.000671,0.001518
5300,0.000582,0.000844,0.001508
5400,0.000496,0.000730,0.001482
5500,0.000458,0.000675,0.001466
5600,0.000470,0.000692,0.001581
5700,0.000486,0.000708,0.001555
5800,0.000481,0.000717,0.001551
5900,0.000490,0.000755,0.001683
6000,0.000504,0.000743,0.001626
6100,0.000511,0.000771,0.001656
6200,0.000524,0.000769,0.001923
6300,0.000523,0.000825,0.001824
6400,0.000563,0.000809,0.002021
6500,0.000565,0.000870,0.001878
6600,0.000599,0.000929,0.001849
6700,0.000575,0.000854,0.001891
6800,0.000573,0.000854,0.001881
6900,0.000578,0.000895,0.001894
7000,0.000614,0.000867,0.001890
7100,0.000594,0.000883,0.001953
7200,0.000649,0.000972,0.002228
7300,0.000704,0.000937,0.002162
7400,0.000838,0.001186,0.002211
7500,0.000812,0.001212,0.002121
7600,0.000657,0.000964,0.002121
7700,0.000662,0.000987,0.002233
7800,0.000663,0.001051,0.002175
7900,0.000693,0.000992,0.002194
8000,0.000759,0.001163,0.002377
8100,0.000701,0.001071,0.002322
8200,0.000754,0.001048,0.003211
8300,0.000836,0.001223,0.002553
8400,0.000783,0.001130,0.002597
8500,0.000847,0.001141,0.002472
8600,0.000807,0.001225,0.002521
8700,0.000808,0.001234,0.002621
8800,0.000829,0.001169,0.002665
8900,0.000814,0.001573,0.002696
9000,0.000874,0.001319,0.002689
9100,0.000876,0.001222,0.002756
9200,0.000894,0.001318,0.002927
9300,0.000926,0.001274,0.002772
9400,0.000941,0.001283,0.002769
9500,0.001199,0.001666,0.002805
9600,0.000875,0.001273,0.003100
9700,0.000892,0.001336,0.002884
9800,0.000906,0.001345,0.002902
9900,0.000916,0.001339,0.002880
10000,0.000927,0.001372,0.003020
