Numbers of elements,Insertion Sort,Selection Sort,Shell Sort,Quick Sort,Merge Sort
100,0.000002,0.000023,0.000004,0.000004,0.000007
200,0.000001,0.000085,0.000010,0.000009,0.000016
300,0.000003,0.000193,0.000016,0.000011,0.000019
400,0.000003,0.000340,0.000020,0.000016,0.000025
500,0.000004,0.000532,0.000028,0.000019,0.000031
600,0.000004,0.000781,0.000038,0.000024,0.000039
700,0.000005,0.001026,0.000043,0.000028,0.000042
800,0.000006,0.001331,0.000049,0.000033,0.000054
900,0.000009,0.001723,0.000066,0.000041,0.000058
1000,0.000011,0.002149,0.000073,0.000040,0.000062
1100,0.000008,0.002543,0.000080,0.000046,0.000082
1200,0.000009,0.002994,0.000083,0.000050,0.000087
1300,0.000009,0.003600,0.000090,0.000057,0.000091
1400,0.000010,0.004250,0.000108,0.000070,0.000123
1500,0.000011,0.004602,0.000110,0.000067,0.000105
1600,0.000011,0.005264,0.000119,0.000070,0.000118
1700,0.000012,0.006318,0.000121,0.000076,0.000120
1800,0.000013,0.006734,0.000126,0.000077,0.000128
1900,0.000013,0.007493,0.000133,0.000081,0.000192
2000,0.000020,0.008224,0.000138,0.000085,0.000144
2100,0.000015,0.009201,0.000161,0.000089,0.000148
2200,0.000016,0.009951,0.000173,0.000099,0.000152
2300,0.000016,0.010919,0.000175,0.000101,0.000166
2400,0.000017,0.011743,0.000187,0.000106,0.000165
2500,0.000019,0.012710,0.000193,0.000113,0.000182
2600,0.000019,0.013836,0.000212,0.000119,0.000215
2700,0.000019,0.015096,0.000236,0.000139,0.000190
2800,0.000024,0.017354,0.000222,0.000133,0.000195
2900,0.000020,0.018257,0.000298,0.000166,0.000320
3000,0.000032,0.019494,0.000313,0.000184,0.000315
3100,0.000030,0.019967,0.000241,0.000146,0.000215
3200,0.000022,0.021096,0.000250,0.000163,0.000224
3300,0.000023,0.022942,0.000354,0.000193,0.000363
3400,0.000034,0.025208,0.000257,0.000160,0.000237
3500,0.000025,0.025387,0.000287,0.000180,0.000240
3600,0.000026,0.027133,0.000285,0.000164,0.000249
3700,0.000027,0.028255,0.000307,0.000178,0.000281
3800,0.000033,0.029628,0.000310,0.000205,0.000264
3900,0.000027,0.031176,0.000388,0.000176,0.000271
4000,0.000039,0.032666,0.000309,0.000182,0.000277
4100,0.000029,0.034457,0.000389,0.000190,0.000326
4200,0.000030,0.037036,0.000402,0.000193,0.000324
4300,0.000030,0.039294,0.000358,0.000201,0.000351
4400,0.000031,0.039570,0.000367,0.000207,0.000360
4500,0.000032,0.041360,0.000388,0.000218,0.000348
4600,0.000032,0.043618,0.000391,0.000248,0.000444
4700,0.000035,0.046089,0.000433,0.000224,0.000376
4800,0.000042,0.048310,0.000533,0.000282,0.000436
4900,0.000042,0.048979,0.000481,0.000278,0.000449
5000,0.000050,0.051916,0.000424,0.000240,0.000391
5100,0.000036,0.054686,0.000427,0.000246,0.000393
5200,0.000037,0.056198,0.000435,0.000258,0.000403
5300,0.000042,0.059952,0.000578,0.000321,0.000581
5400,0.000054,0.059861,0.000495,0.000280,0.000483
5500,0.000039,0.063030,0.000463,0.000272,0.000438
5600,0.000039,0.064941,0.000467,0.000276,0.000470
5700,0.000054,0.067480,0.000522,0.000286,0.000451
5800,0.000041,0.069682,0.000522,0.000296,0.000489
5900,0.000042,0.071998,0.000500,0.000302,0.000467
6000,0.000044,0.073744,0.000552,0.000322,0.000508
6100,0.000051,0.076686,0.000514,0.000307,0.000489
6200,0.000043,0.079305,0.000576,0.000322,0.000536
6300,0.000046,0.082364,0.000587,0.000316,0.000488
6400,0.000045,0.083237,0.000557,0.000324,0.000495
6500,0.000046,0.088882,0.000557,0.000324,0.000703
6600,0.000065,0.090579,0.000573,0.000326,0.000535
6700,0.000047,0.092604,0.000601,0.000364,0.000648
6800,0.000055,0.096276,0.000637,0.000370,0.000585
6900,0.000066,0.099076,0.000648,0.000359,0.000607
7000,0.000052,0.102369,0.000584,0.000346,0.000536
7100,0.000050,0.104416,0.000592,0.000345,0.000540
7200,0.000050,0.105021,0.000657,0.000359,0.000596
7300,0.000051,0.110448,0.000622,0.000397,0.000579
7400,0.000068,0.113472,0.000625,0.000360,0.000633
7500,0.000053,0.116917,0.000663,0.000387,0.000608
7600,0.000060,0.119293,0.000650,0.000367,0.000589
7700,0.000054,0.121855,0.000731,0.000407,0.000695
7800,0.000054,0.125280,0.000663,0.000379,0.000623
7900,0.000056,0.128583,0.000832,0.000385,0.000616
8000,0.000057,0.130955,0.000737,0.000390,0.000638
8100,0.000057,0.134438,0.000761,0.000412,0.000687
8200,0.000059,0.139229,0.000751,0.000393,0.000631
8300,0.000058,0.144458,0.000784,0.000447,0.000684
8400,0.000058,0.145541,0.000821,0.000453,0.000784
8500,0.000061,0.152682,0.000803,0.000414,0.000679
8600,0.000059,0.152155,0.000816,0.000426,0.000689
8700,0.000060,0.159513,0.000893,0.000453,0.000777
8800,0.000062,0.161876,0.000861,0.000447,0.000741
8900,0.000062,0.163810,0.000841,0.000444,0.000703
9000,0.000062,0.167822,0.000918,0.000455,0.000699
9100,0.000063,0.170514,0.000908,0.000499,0.000807
9200,0.000087,0.173433,0.000847,0.000469,0.000774
9300,0.000065,0.179189,0.000889,0.000478,0.000760
9400,0.000074,0.182211,0.000882,0.000489,0.000739
9500,0.000067,0.188581,0.000990,0.000493,0.000751
9600,0.000067,0.197269,0.000953,0.000484,0.000789
9700,0.000067,0.195278,0.001106,0.000578,0.000769
9800,0.000068,0.199219,0.000908,0.000500,0.000763
9900,0.000070,0.200697,0.000914,0.000519,0.000759
10000,0.000070,0.205141,0.000927,0.000522,0.000782
